id,answer
0,web
1,computer program that extends the functionality of a web browser
2,
3,a browser extension
4,1
5,
6,1990
7,most browsers
8,marc andreessen
9,
10,microsoft corp v commission
11,mosaic
12,this deal
13,
14,a browser extension
15,2003
16,2009
17,this deal
18,web
19,file and others
20,
21,1995
22,
23,
24,may 2012
25,a browser extension
26,8
27,
28,nexus
29,apple - based web browsing
30,proprietary web
31,uniform
32,mozilla
33,information provided by web servers in private networks or files in file systems
34,usage
35,web
36,1994
37,javascript
38,google chrome
39,user 's
40,users
41,live bookmarks
42,which stores and displays the contents of the feed
43,usage
44,
45,uniform
46,mosaic - influenced netscape navigator in 1994 which quickly became the world 's most popular browser accounting for 90 % of all web use at its peak see usage share of web browsers
47,
48,a browser extension
49,
50,minimal text - based user interfaces with bare - bones support for html
51,other hand
52,url
53,a browser extension
54,
55,
56,torch relay
57,islamabad
58,ladbroke grove
59,
60,san francisco international airport
61,
62,
63,chinese media
64,nagano
65,galschiøt
66,first time since april
67,
68,falun gong
69,
70,this arrangement
71,ladbroke grove
72,stephen smith
73,
74,ali mohamed shein
75,
76,islamabad
77,eiffel
78,beijing
79,2008
80,shoichi washizawa
81,structure he built in hong kong to commemorate the 1989 tiananmen square protests
82,4
83,stanley ho
84,downing street
85,the torch
86,carrefour
87,
88,
89,
90,
91,dar es salaam
92,tibetan independence animal rights and legal online gambling
93,nagano
94,the torch
95,
96,chinatown
97,
98,san
99,reporters
100,macau fisherman 's wharf
101,vietnam
102,
103,public not being allowed at the relay
104,interviews
105,whole relay
106,
107,
108,kunming
109,
110,islamabad
111,islamabad
112,
113,control
114,trocadéro
115,wangari maathai
116,relay
117,novelty
118,
119,almaty
120,nagano
121,uighur
122,praise
123,
124,briefly
125,
126,
127,torch 's only stop in the middle east on april 14
128,ted quinlan
129,
130,
131,capital city
132,london
133,
134,donald tsang
135,
136,galschiøt
137,the torch
138,april 5
139,
140,torch
141,
142,thupten gyatso
143,
144,overseas
145,24
146,
147,
148,
149,4
150,torch 's
151,
152,people 's daily
153,
154,the french newspaper libération
155,nguyễn
156,tradition
157,carrefour
158,michèle alliot-marie
159,
160,8
161,
162,5
163,konnie huq
164,
165,propane
166,saint petersburg
167,demonising china during their coverage of the torch relays
168,susan prager
169,manhandling
170,its children 's
171,jackie chan
172,chinatown
173,konnie
174,nursultan nazarbaev
175,
176,a macau resident
177,
178,
179,
180,international
181,40
182,
183,24
184,minami nagano sports park
185,
186,ips
187,libération
188,
189,minami nagano sports park
190,eiffel
191,
192,
193,
194,130
195,shoichi washizawa
196,
197,jane birkin
198,propane
199,
200,
201,the french newspaper libération
202,dragon
203,situation
204,april 5
205,the torch route
206,western asia
207,
208,ladbroke grove
209,
210,taipei
211,baichung bhutia
212,nagano
213,ali mohamed shein
214,
215,other sporting
216,24 km
217,tibetan government in exile which is based in india
218,luxury
219,beijing changsha fuzhou and shenyang
220,
221,islamabad
222,april 26 2008
223,
224,
225,vice
226,islamabad
227,lê minh phiếu
228,august 8 2008
229,jacques rogge
230,
231,mostly peaceful demonstrators
232,
233,chinese students and scholars association
234,
235,
236,astana square
237,
238,ali mohamed shein
239,
240,
241,harmony
242,jorge carcavallo
243,little mention –
244,san francisco international airport
245,
246,
247,3
248,eiffel tower
249,tanzania
250,media
251,2008
252,north america
253,
254,2
255,1
256,wembley stadium
257,international
258,40
259,flame
260,nagano
261,ali mohamed shein
262,
263,
264,legal online gambling
265,pakistan
266,bollywood
267,overseas
268,saint petersburg
269,muscat
270,india
271,china
272,silk
273,
274,com relating to a boycott of carrefour
275,eiffel tower
276,pro - tibet protests
277,people 's daily
278,nagano
279,
280,narisa chakrabongse
281,
282,beijing games ' organizing committee
283,4
284,gavin newsom
285,sanya
286,
287,example
288,eiffel tower
289,reporters
290,2005
291,assurances that it will be done peacefully
292,fedor emelianenko
293,
294,sulaf fawakherji
295,
296,
297,
298,protest
299,nagano
300,city
301,
302,calls to do so by some ioc members
303,
304,winter
305,islamabad
306,
307,mayor 's remark
308,
309,konnie huq
310,130
311,peter ueberroth
312,com and cyberctm
313,luxury
314,
315,pyongyang
316,
317,
318,
319,starting point for the olympic torch relay in nagano
320,part
321,starting point for the olympic torch relay in nagano
322,11
323,first time since april
324,24
325,
326,30
327,agnes shea
328,37
329,counter
330,tanzania
331,
332,china
333,nursultan nazarbaev
334,islamabad
335,2008
336,
337,2008
338,tibetan flag
339,human rights
340,
341,
342,600
343,china 's
344,chinatown
345,
346,
347,
348,kamal nath
349,2008
350,pyongyang
351,pro - tibet
352,paul danahar
353,to spelling
354,
355,frequency
356,12
357,other words
358,100
359,frequency
360,low pitch corresponds
361,shifts
362,overtones
363,organization
364,to spelling
365,higher frequencies
366,12
367,respect to fundamental frequency
368,
369,inherent octave ambiguities
370,highly regarded and recognised name in dance music
371,whiteley
372,september
373,
374,the city
375,3570 people claiming job seeker 's allowance approximately 2
376,
377,highfield
378,uk
379,
380,18th - century
381,then hampton
382,london
383,here the rivers test and itchen converge
384,fortified settlement which became medieval southampton
385,southampton area
386,city
387,13
388,conservative
389,most common form
390,west quay retail park
391,1968
392,2011
393,16
394,solent
395,the city
396,city
397,england and wales
398,2014
399,600
400,
401,city 's
402,solent
403,canute 's
404,city including aircraft and car manufacture cables electrical engineering products and petrochemicals
405,2014
406,the settlement
407,
408,
409,
410,hampshire
411,house
412,
413,104
414,
415,king
416,1964
417,
418,close second for boys
419,
420,1840
421,1862
422,westquay park
423,
424,art vaults
425,1417
426,the western docks date from the 1930s when the southern railway company commissioned a major land reclamation and dredging programme
427,1339
428,202
429,200910
430,house
431,this area
432,water
433,city
434,29 june 1199
435,hampshire
436,norman conquest in 1066
437,uk
438,southampton city centre
439,labour
440,121
441,2001
442,parkway
443,foundation
444,
445,live music
446,same time
447,stage
448,
449,uni - link
450,other business
451,
452,a royal charter in 1952
453,southampton castle
454,residents who can not access public transport
455,1966
456,hampshire
457,this purpose
