id,answer
0,web
1,computer program that extends the functionality of a web browser
2,2009
3,a browser extension
4,1
5,andreessen
6,1990
7,most browsers
8,marc andreessen
9,andreessen
10," microsoft corp v commission
11,mosaic
12,this deal
13,andreessen
14,a browser extension
15,2003
16,2009
17,this deal
18,web
19,file , and others
20,
21,1995
22,8
23,andreessen
24,may 2012
25,a browser extension
26,8
27,1998
28,nexus
29,apple - based web browsing
30,proprietary web
31,uniform
32,mozilla
33,information provided by web servers in private networks or files in file systems
34,usage
35,web
36,1994
37,javascript
38,google chrome
39,user 's
40,users
41,live bookmarks
42,which stores and displays the contents of the feed
43,usage
44,2011
45,uniform
46,mosaic - influenced netscape navigator in 1994 , which quickly became the world 's most popular browser , accounting for 90 % of all web use at its peak ( see usage share of web browsers
47,
48,a browser extension
49,andreessen
50,minimal , text - based user interfaces with bare - bones support for html
51,other hand
52,url
53,a browser extension
54,8
55,hu jintao
56,torch relay
57,islamabad
58,ladbroke grove
59,jacques rogge
60,san francisco international airport
61,nath
62,kim il sung
63,chinese media
64,nagano
65,galschiøt
66,first time since april
67,fedor emelianenko
68,falun gong
69,jin jing
70,  this arrangement
71,ladbroke grove
72,stephen smith
73,wuhan
74,ali mohamed shein
75,yousaf raza gillani
76,islamabad
77,eiffel
78,beijing
79,2008
80,shoichi washizawa
81,structure he built in hong kong to commemorate the 1989 tiananmen square protests
82,4
83,stanley ho
84,downing street
85,  the torch
86,carrefour
87,10
88,mom rajawongse narissara chakrabongse
89,30
90,jin jing
91,dar es salaam
92,tibetan independence , animal rights , and legal online gambling
93,nagano
94,  the torch
95,buenos aires
96,chinatown
97,16
98,san
99,reporters
100,macau fisherman 's wharf
101,vietnam
102,susan prager
103,public not being allowed at the relay
104,interviews
105,whole relay
106,temeke
107,agnes shea
108,kunming
109,120
110,islamabad
111,islamabad
112,100
113,control
114,trocadéro
115,wangari maathai
116,relay
117,novelty
118,china
119,almaty
120,nagano
121,uighur
122,praise
123,paris
124,briefly
125,4
126,kim kyung han
127,torch 's only stop in the middle east , on april 14
128,ted quinlan
129,yousaf raza gillani
130,2008
131,capital city
132,london
133,islamabad
134,donald tsang
135,1707
136,galschiøt
137,  the torch
138,april 5
139,100
140,torch
141,3
142,thupten gyatso
143,10
144,overseas
145,24
146,10
147,16
148,stephen smith
149,4
150,torch 's
151,120
152,people 's daily
153,sanya
154,  the french newspaper libération
155,nguyễn
156,tradition
157,carrefour
158,michèle alliot-marie
159,1707
160,8
161,jorge carcavallo
162,5
163,konnie huq
164,richard gere
165,propane
166,saint petersburg
167," demonising " china during their coverage of the torch relays
168,susan prager
169,manhandling
170,its children 's
171,jackie chan
172,chinatown
173,konnie
174,nursultan nazarbaev
175,beijing
176,a macau resident
177,1707
178,islamabad
179,fedor emelianenko
180,international
181,40
182,fu ying
183,24
184,minami nagano sports park
185,2008
186,ips
187,libération
188,beijing
189,minami nagano sports park
190,eiffel
191,laurel sutherlin
192,10
193,120
194,130
195,shoichi washizawa
196,china
197,jane birkin
198,propane
199,taiwan
200,10
201,  the french newspaper libération
202,dragon
203,situation
204,april 5
205,  the torch route
206,western asia
207,michael mak kwok-fung
208,ladbroke grove
209,nath
210,taipei
211,baichung bhutia
212,nagano
213,ali mohamed shein
214,1707
215,other sporting
216,24 km
217,tibetan government in exile , which is based in india
218,luxury
219,beijing , changsha , fuzhou and shenyang
220,middle east
221,islamabad
222,april 26 , 2008
223,4
224,3
225,vice
226,islamabad
227,lê minh phiếu
228,august 8 , 2008 ,
229,jacques rogge
230,gordon brown
231,mostly peaceful demonstrators
232,4
233,chinese students and scholars association
234,120
235,gabriela sabatini
236,astana square
237,24
238,ali mohamed shein
239,china
240,stanley ho
241,harmony
242,jorge carcavallo
243,little mention –
244,san francisco international airport
245,tibet
246,hu jintao
247,3
248,eiffel tower
249,tanzania
250,media
251,2008
252,north america
253,10
254,2
255,1
256,wembley stadium
257,international
258,40
259,flame
260,nagano
261,ali mohamed shein
262,temeke
263,3
264,legal online gambling
265,pakistan
266,bollywood
267,overseas
268,saint petersburg
269,muscat
270,india
271,china
272,silk
273,mom rajawongse narissara chakrabongse
274,com relating to a boycott of carrefour
275,eiffel tower
276,pro - tibet protests ,
277,people 's daily
278,nagano
279,kamal nath
280,narisa chakrabongse
281,leong heng teng
282,beijing games ' organizing committee
283,4
284,gavin newsom
285,sanya
286,beijing
287,example
288,eiffel tower
289,reporters
290,2005
291,assurances that it will be done peacefully
292,fedor emelianenko
293,china
294,sulaf fawakherji
295,china
296,jin jing
297,13
298,protest
299,nagano
300,city
301,jin jing
302,calls to do so by some ioc members
303,1707
304,winter
305,islamabad
306,minami nagano sports park
307,mayor 's remark
308,yousaf raza gillani
309,konnie huq
310,130
311,peter ueberroth
312,com and cyberctm
313,luxury
314,andrew michael
315,pyongyang
316,100
317,beijing
318,m. r. narisa chakrabongse
319,starting point for the olympic torch relay in nagano
320,part
321,starting point for the olympic torch relay in nagano
322,11
323,first time since april
324,24
325,north america
326,30
327,agnes shea
328,37
329,counter
330,tanzania
331,islamabad
332,china
333,nursultan nazarbaev
334,islamabad
335,2008
336,kim kyung han
337,2008
338,tibetan flag
339,human rights
340,zenkoji
341,600
342,600
343,china 's
344,chinatown
345,jorge carcavallo
346,ponte governador nobre de carvalho
347,jack cafferty
348,kamal nath
349,2008
350,pyongyang
351,pro - tibet
352,paul danahar
353,to " spelling " :
