id,answer
0,opera debuted 1996 ; never
1,internet explorer hand bundled free
2,browsers support http secure offer
3,browser extension computer program extends
4,available web browsers range features
5,1998 netscape launched become mozilla
6,primary purpose web browser bring
7,1998 netscape launched become mozilla
8,case http https file others
9,available web browsers range features
10,early web browsers supported simple
11,today commercial web browsers paid
12,today commercial web browsers paid
13,1993 browser software innovated marc
14,available web browsers range features
15,1993 browser software innovated marc
16,web browsers display list web
17,opera debuted 1996 ; never
18,first web browser invented 1990
19,information resources may contain hyperlinks
20,early web browsers supported simple
21,browsers support http secure offer
22,1998 netscape launched become mozilla
23,browsers support http secure offer
24,information resources may contain hyperlinks
25,process begins user inputs uniform
26,web browsers display list web
27,recent major entrant browser market
28,web browsers consist user interface
29,safari mobile safari likewise always
30,microsoft responded internet explorer 1995
31,information resources may contain hyperlinks
32,process begins user inputs uniform
33,primary purpose web browser bring
34,opera debuted 1996 ; never
35,web browser ( commonly referred
36,safari mobile safari likewise always
37,web browser ( commonly referred
38,case http https file others
39,apple 's safari first beta
40,web browsers consist user interface
41,information resources may contain hyperlinks
42,web browsers consist user interface
43,january 2009 european commission announced
44,case http https file others
45,available web browsers range features
46,internet explorer hand bundled free
47,today commercial web browsers paid
48,major web browsers allow user
49,browser extension computer program extends
50,1993 browser software innovated marc
51,today commercial web browsers paid
52,apple 's safari first beta
53,today commercial web browsers paid
54,north korea : event held
55,route carried torch six continents
56,june 2008 beijing games '
57,turkey : torch relay leg
58,macao : event held macau
59,several hundred pro-tibet protesters gathered
60,response demonstrations chinese government attempted
61,wary protests indian authorities decided
62,color orange democracy group led
63,russia : april 5 olympic
64,april 1 2008 san francisco
65,macao : event held macau
66,united states america : torch
67,prompted chaotic torch relays western
68,chinese media reported jin jing
69,french members parliament french politicians
70,western media reported chinese accusations
71,south korea : event held
72,australia : event held canberra
73,south korea : event held
74,april 17 xinhua condemned called
75,prompted chaotic torch relays western
76,macau resident arrested april 26
77,wary protests indian authorities decided
78,hong kong : event held
79,wary protests indian authorities decided
80,april 17 xinhua condemned called
81,thailand : april 18 relay
82,reporters without borders organised several
83,lit birthplace olympic games olympia
84,turkey : torch relay leg
85,olympic torch based traditional scrolls
86,april 17 xinhua condemned called
87,japan mayor nagano shoichi washizawa
88,vietnam : event held minh
89,hong kong : event held
90,several protests along torch relay
91,sultanate oman : muscat torch
92,greece : march 24 2008
93,intended torchbearer lin hatfield dodds
94,outreach director hrtr susan prager
95,union planned protest relay better
96,greece : march 24 2008
97,torch lit park outside &
98,2008 summer olympics torch relay
99,france : torch relay leg
100,hong kong : event held
101,north korea : event held
102,australia : event held canberra
103,turkey : torch relay leg
104,coverage events media came scrutiny
105,color orange democracy group led
106,united nations organization children 's
107,french police criticised handling events
108,lit birthplace olympic games olympia
109,china : china torch first
110,macau resident arrested april 26
111,china : torch returned china
112,pakistan : olympic torch reached
113,june 2008 beijing games '
114,wary protests indian authorities decided
115,attacks torch london paris described
116,advocates tibet darfur spiritual practice
117,days relay supporters falun gong
118,april 1 2008 san francisco
119,xinhua cctv quoted relay spectators
120,chinese media reported jin jing
121,2008 summer olympics torch relay
122,june 2008 beijing games '
123,chinese officials canceled torch relay
124,attacks torch london paris described
125,japan mayor nagano shoichi washizawa
126,japan mayor nagano shoichi washizawa
127,south korea : event held
128,route carried torch six continents
129,following events olympia reports china
130,western media reported chinese accusations
131,great britain : torch relay
132,several protests along torch relay
133,malaysia : event held capital
134,russia : april 5 olympic
135,color orange democracy group led
136,sultanate oman : muscat torch
137,malaysia : event held capital
138,china call boycott french hypermart
139,union planned protest relay better
140,internationally torch accompanying party traveled
141,great britain : torch relay
142,prior rally seven anti-china protestors
143,june 2008 beijing games '
144,australia : event held canberra
145,china call boycott french hypermart
146,response pro-tibet pro-human rights protests
147,pakistan : olympic torch reached
148,indonesia : olympic flame reached
149,beijing olympic organizing committee sent
150,80 torch-bearers london sir steve
151,color orange democracy group led
152,thailand : april 18 relay
153,south korea : event held
154,tanzania : salaam torch 's
155,june 2008 beijing games '
156,indonesia : olympic flame reached
157,vietnam : event held minh
158,union planned protest relay better
159,japan mayor nagano shoichi washizawa
160,north korea : event held
161,600 pro-tibet protesters expected attend
162,olympic torch based traditional scrolls
163,australia : event held canberra
164,reports delhi relay similarly distinct.
165,north korea : event held
166,greece : march 24 2008
167,response demonstrations chinese government attempted
168,reporters without borders organised several
169,india rejected chinese demands torch
170,april 20 people 's daily
171,vietnam : event held minh
172,several protests along torch relay
173,route carried torch six continents
174,days relay supporters falun gong
175,chinese media reported jin jing
176,april 4 reported chinese government
177,600 pro-tibet protesters expected attend
178,attacks torch london paris described
179,france : torch relay leg
180,macao : event held macau
181,olympic torch based traditional scrolls
182,thailand : april 18 relay
183,advocates tibet darfur spiritual practice
184,lit birthplace olympic games olympia
185,japan mayor nagano shoichi washizawa
186,pakistan : olympic torch reached
187,april 1 2008 san francisco
188,advocates tibet darfur spiritual practice
189,russia : april 5 olympic
190,french members parliament french politicians
191,two additional teams 40 attendants
192,argentine activists told news conference
193,argentine activists told news conference
194,russia : april 5 olympic
195,greece : march 24 2008
196,south korea : event held
197,response pro-tibet pro-human rights protests
198,noted indian social activist retired
199,several protests along torch relay
200,days relay supporters falun gong
201,france : torch relay leg
202,response demonstrations chinese government attempted
203,color orange democracy group led
204,south korea : event held
205,prompted chaotic torch relays western
206,intended torchbearer lin hatfield dodds
207,attacks torch london paris described
208,indonesia : olympic flame reached
209,april 1 2008 san francisco
210,2008 summer olympics torch relay
211,intended torchbearer lin hatfield dodds
212,kazakhstan : first torchbearer almaty
213,advocates tibet darfur spiritual practice
214,reporters without borders organised several
215,response pro-tibet pro-human rights protests
216,2008 summer olympics torch relay
217,chinese media reported jin jing
218,prompted chaotic torch relays western
219,china : china torch first
220,western media reported chinese accusations
221,response demonstrations chinese government attempted
222,wary protests indian authorities decided
223,french members parliament french politicians
224,several protests along torch relay
225,torch lit park outside &
226,china call boycott french hypermart
227,"april 19 bbc reported 1,300"
228,french members parliament french politicians
229,tanzania : salaam torch 's
230,macau resident arrested april 26
231,north korea : event held
232,indonesia : olympic flame reached
233,noted indian social activist retired
234,north korea : event held
235,lit birthplace olympic games olympia
236,olympic torch based traditional scrolls
237,chinese media reported jin jing
238,sultanate oman : muscat torch
239,great britain : torch relay
240,wary protests indian authorities decided
241,macao : event held macau
242,macao : event held macau
243,olympic flame supposed remain lit
244,2008 summer olympics torch relay
245,internationally torch accompanying party traveled
246,many cities along north american
247,days relay supporters falun gong
248,internationally torch accompanying party traveled
249,olympic torch based traditional scrolls
250,united nations organization children 's
251,india : due concerns pro-tibet
252,australia : event held canberra
253,pakistan : olympic torch reached
254,two additional teams 40 attendants
255,chinese media reported jin jing
256,union planned protest relay better
257,days relay supporters falun gong
258,turkey : torch relay leg
259,kazakhstan : first torchbearer almaty
260,prior rally seven anti-china protestors
261,hong kong : event held
262,80 torch-bearers london sir steve
263,internationally torch accompanying party traveled
264,lit birthplace olympic games olympia
265,prompted chaotic torch relays western
266,great britain : torch relay
267,april 4 reported chinese government
268,several hundred pro-tibet protesters gathered
269,lit birthplace olympic games olympia
270,french police criticised handling events
271,beijing olympic organizing committee sent
272,80 torch-bearers london sir steve
273,australia : event held canberra
274,western media reported chinese accusations
275,argentina : torch relay leg
276,april 20 people 's daily
277,april 4 reported chinese government
278,north korea : event held
279,olympic torch based traditional scrolls
280,2008 summer olympics torch relay
281,argentina : torch relay leg
282,"april 19 bbc reported 1,300"
283,2008 summer olympics torch relay
284,several protests along torch relay
285,several protests along torch relay
286,south korea : event held
287,600 pro-tibet protesters expected attend
288,sultanate oman : muscat torch
289,united states america : torch
290,april 20 people 's daily
291,color orange democracy group led
292,prompted chaotic torch relays western
293,macao : event held macau
294,several protests along torch relay
295,china : torch returned china
296,internationally torch accompanying party traveled
297,malaysia : event held capital
298,kazakhstan : first torchbearer almaty
299,two additional teams 40 attendants
300,western media reported chinese accusations
301,color orange democracy group led
302,many cities along north american
303,noted indian social activist retired
304,june 2008 beijing games '
305,chinese media reported jin jing
306,prompted chaotic torch relays western
307,greece : march 24 2008
308,argentina : torch relay leg
309,malaysia : event held capital
310,china : china torch first
311,intended torchbearer lin hatfield dodds
312,wary protests indian authorities decided
313,china : china torch first
314,north korea : event held
315,advocates tibet darfur spiritual practice
316,china : china torch first
317,chinese officials canceled torch relay
318,union planned protest relay better
319,great britain : torch relay
320,noted indian social activist retired
321,june 2008 beijing games '
322,vietnam : event held minh
323,attacks torch london paris described
324,malaysia : event held capital
325,600 pro-tibet protesters expected attend
326,great britain : torch relay
327,greece : march 24 2008
328,vietnam : event held minh
329,prior rally seven anti-china protestors
330,route carried torch six continents
331,greece : march 24 2008
332,lit birthplace olympic games olympia
333,united nations organization children 's
334,kazakhstan : first torchbearer almaty
335,wary protests indian authorities decided
336,france : torch relay leg
337,80 torch-bearers london sir steve
338,many cities along north american
339,beijing olympic organizing committee sent
340,japan : event held nagano
341,great britain : torch relay
342,japan : event held nagano
343,japan mayor nagano shoichi washizawa
344,april 4 reported chinese government
345,indonesia : olympic flame reached
346,macao : event held macau
347,80 torch-bearers london sir steve
348,india : due concerns pro-tibet
349,color orange democracy group led
350,attacks torch london paris described
351,india rejected chinese demands torch
352,macao : event held macau
353,example one might refer middle
354,example one might refer middle
355,sound generated instrument produces many
356,relative pitches individual notes scale
357,pitch auditory sensation listener assigns
358,pitch auditory sensation listener assigns
359,still possible two sounds indefinite
360,relative pitches individual notes scale
361,temporal theories offer alternative appeals
362,just-noticeable difference ( jnd )
363,still possible two sounds indefinite
364,example one might refer middle
365,temporal theories offer alternative appeals
366,relative pitches individual notes scale
367,example one might refer middle
368,pitch complex tones ambiguous meaning
369,pitch auditory sensation listener assigns
370,southampton 's police service provided
371,two main termini bus services.
372,southampton longer base cross-channel ferries
373,three members parliament city :
374,city well provided amateur 's
375,southampton 's fire cover provided
376,town subject attempt separate company
377,surviving remains 12th century merchants
378,according 2004 figures southampton contributes
379,southampton always port docks long
380,establishment hampshire county council following
381,city several smaller music venues
382,surviving remains 12th century merchants
383,city several smaller music venues
384,status town changed later charter
385,two local sunday leagues southampton
386,southampton major uk port good
387,establishment hampshire county council following
388,surviving remains 12th century merchants
389,southampton became spa town 1740.
390,southampton always port docks long
391,southampton served rail network used
392,city home longest surviving stretch
393,archaeological finds suggest area inhabited
394,southampton home one successful college
395,southampton used military embarkation including
396,university hospital southampton nhs foundation
397,university hospital southampton nhs foundation
398,two local sunday leagues southampton
399,40 cent school pupils city
400,city home longest surviving stretch
401,middle ages shipbuilding became important
402,town sacked 1338 french genoese
403,1642 english civil parliamentary garrison
404,pockets georgian architecture survived much
405,two local sunday leagues southampton
406,city southampton sports centre focal
407,quarter jobs available city health
408,major employers city include ordnance
409,"southampton estimated 236,900 people living"
410,city strong higher education sector.
411,geography southampton influenced rivers. city
412,southampton divided council wards suburbs
413,according hampshire constabulary figures southampton
414,southampton 's strong economy promoting
415,elsewhere remnants medieval water supply
416,southampton 2 community fm radio
417,southampton two large live music
418,annual southampton boat show held
419,southampton divided council wards suburbs
420,hampshire county cricket club play
421,town subject attempt separate company
422,southampton named fittest city uk
423,university hospital southampton nhs foundation
424,geography southampton influenced rivers. city
425,southampton divided council wards suburbs
426,quarter jobs available city health
427,southampton major uk port good
428,city mayor one 16 cities
429,southampton city council consists 48
430,two local sunday leagues southampton
431,anglo-saxons formed new larger settlement
432,southampton always port docks long
433,major employers city include ordnance
434,royal charter 1952 upgraded university
435,hand many medieval buildings situated
436,university hospital southampton nhs foundation
437,two main termini bus services.
438,january 2007 average annual salary
439,southampton 's largest retail centre
440,commercial radio stations broadcasting city
441,1996 2004 population city increased
442,many world 's largest cruise
443,city undergone many changes governance
444,southampton 's largest retail centre
445,city strong higher education sector.
446,city several smaller music venues
447,630 people lost lives result
448,town experienced major expansion victorian
449,southampton water benefit double high
450,southampton 's strong economy promoting
451,centre southampton located large hot
452,"119,500 males within city 117,400"
453,town subject attempt separate company
454,elsewhere remnants medieval water supply
455,1854 book cruise steam yacht
456,establishment hampshire county council following
457,latter half 20th century diverse
458,"southampton estimated 236,900 people living"
459,southampton became spa town 1740.
460,revealed southampton worst behaved secondary
461,according 2004 figures southampton contributes
462,many innovative art galleries city.
463,anglo-saxons formed new larger settlement
464,prior king henry 's departure
465,southampton airport regional airport located
466,2001 census 92.4 cent city
467,city undergone many changes governance
468,"largest theatre city 2,300 capacity"
469,southampton two large live music
470,city well provided amateur 's
471,major employers city include ordnance
472,january 2007 average annual salary
473,2001 census southampton portsmouth recorded
474,commercial radio stations broadcasting city
475,elsewhere remnants medieval water supply
476,elsewhere remnants medieval water supply
477,town experienced major expansion victorian
478,prior king henry 's departure
479,southampton two large live music
480,southampton city council consists 48
481,viking raids 840 onwards contributed
482,buses provide majority local public
483,630 people lost lives result
484,january 2007 average annual salary
485,southampton divided council wards suburbs
486,quarter jobs available city health
487,viking raids 840 onwards contributed
488,southampton used home number ferry
489,middle ages shipbuilding became important
490,city walls include god 's
491,significant employers southampton include university
492,major employers city include ordnance
493,annual southampton boat show held
494,city mayor one 16 cities
495,addition school sixth forms st
496,anglo-saxons formed new larger settlement
497,january 2007 average annual salary
498,southampton major uk port good
499,city several smaller music venues
500,surviving remains 12th century merchants
501,following norman conquest 1066 southampton
502,630 people lost lives result
503,southampton city council consists 48
504,according hampshire constabulary figures southampton
505,southampton 2 community fm radio
506,southampton ( i/saʊθˈæmptən -hæmptən/ )
507,southampton divided council wards suburbs
508,importance southampton cruise industry indicated
509,rest uk southampton experiences oceanic
510,many innovative art galleries city.
511,1854 book cruise steam yacht
512,southampton became spa town 1740.
513,city strong higher education sector.
514,university hospital southampton nhs foundation
515,southampton always port docks long
516,city southampton sports centre focal
517,two local sunday leagues southampton
518,2001 census southampton portsmouth recorded
519,city home longest surviving stretch
520,city mayor one 16 cities
521,city hockey club southampton hockey
522,city mayor one 16 cities
523,city well provided amateur 's
524,town sacked 1338 french genoese
525,archaeological finds suggest area inhabited
526,southampton used home number ferry
527,40 cent school pupils city
528,southampton home one successful college
529,city home birthplace number contemporary
530,southampton city council developed twinning
531,city southampton sports centre focal
532,commercial radio stations broadcasting city
533,city walls include god 's
534,southampton served rail network used
535,river test runs along western
536,centre southampton located large hot
537,city southampton sports centre focal
538,southampton 's largest retail centre
539,annual southampton boat show held
540,following norman conquest 1066 southampton
541,southampton 's police service provided
542,according hampshire constabulary figures southampton
543,latter half 20th century diverse
544,city strong higher education sector.
545,city undergone many changes governance
546,status town changed later charter
547,status town changed later charter
548,1642 english civil parliamentary garrison
549,river test runs along western
550,many world 's largest cruise
551,southampton named fittest city uk
552,southampton city council consists 48
553,1642 english civil parliamentary garrison
554,city mayor one 16 cities
555,according 2004 figures southampton contributes
556,port point departure pilgrim fathers
557,local train services operate central
558,two local sunday leagues southampton
559,"largest theatre city 2,300 capacity"
560,many innovative art galleries city.
561,establishment hampshire county council following
